shot,onset_time,notes
1120105021,1.455,
1120105027,1.515,
1120105029,1.335,
1120203005,1.48,
1120215005,1.125,
1120215009,1.475,
1120215012,1.47,
1120215018,1.06,
1120217021,1.42,
1120217025,1.425,
1120222011,1.44,long one that swings down before coming up
1120222013,0.925,
1120222014,1.48,another longer one that swings
1120503017,1.34,another longer one that swings
1120514008,0.44,
1120523033,1.34,
1120601015,0.64,"looks like VC was deliberately shot off at 640ms, but logbook doesn't mention anything"
1120621011,0.75,
1120621012,0.86,long swing
1120703011,1.4,big swing
1120710019,0.766,
1120710027,0.917,
1120713007,1.24,"looks like VC was deliberately shot off at 640ms, but logbook doesn't mention anything"
1120727026,0.98,"very long, with low fs during swing"
1120731005,0.94,
1120801033,1.12,small swing
1120809024,1.136,"doesn't look deliberate, but onset is very clear"
1120824017,1.06,"doesn't look deliberate, but onset is very clear"
1120831016,1.425,
1120831017,1.4,
1120904011,0.84,
1120905018,1.159,very clear onset
1120907004,1.223,very clear onset
1120914018,1.24,
1120917011,1.4,
1121002011,1.24,
1140205010,1.018,
1140226017,1.045,
1140327019,0.66,
1140328013,1.354,
1140328017,0.56,
1140328025,1.22,
1140402009,1.396,
1140411019,1.44,
1140416023,1.18,
1140515015,1.25,very clear onset
1140515017,1.395,
1140515023,1.344,
1140515024,1.24,
1140521001,1.22,
1140523015,0.834,
1140605001,1.38,
1140610006,0.76,
1140610007,0.76,
1140610016,0.76,
1140611001,1.078,
1140618005,0.768,
1140618007,0.76,
1140702012,1.38,
1140723001,0.46,
1140724022,1.4,
1140731030,1.26,
1140805004,1.477,
1140805011,1.372,
1140805026,0.82,
1140805032,1.406,very clear onset
1140808003,0.956,
1140808008,1.202,
1140808014,1.095,
1140808030,1.2,started assigning end at 0 instead of peak
1140814026,1.42,
1140819017,1.2,
1140819023,1.32,
1140826009,0.77,
1140826011,0.773,
1140826026,1,
1140827029,0.736,
1150506022,0.62,very long with multiple swings leading up to final crash
1150610006,1.42,very clear onset
1150610007,1.36,
1150610008,1.36,honestly kinda hard to nail down start
1150610009,1.408,
1150610010,1.412,
1150610011,1.436,
1150616004,1.437,very clear onset
1150616005,1.357,
1150616007,1.35,
1150623007,0.46,
1150625009,0.42,
1150630019,1.295,
1150709032,1.375,
1150709033,1.463,
1150714002,0.75,
1150714007,0.578,long swing
1150715008,0.8,
1150715015,0.46,long swing
1150715017,0.462,long swing
1150717010,0.98,very clear onset
1150721019,0.6,very clear onset
