shot,t_start,t_stop,shot_style,group,table
114356,0.0016,0.0048,0,0,B.5
114357,0.0016,0.0034,0,0,B.5
114358,0.0016,0.0047,0,0,B.5
114359,0.0016,0.0046,0,0,B.5
114360,0.0016,0.0041,0,0,B.5
114361,0.0016,0.006,0,0,B.5
114363,0.0016,0.0083,0,1,B.6
114364,0.0016,0.004,0,0,B.5
114365,0.0016,0.0042,0,0,B.5
114366,0.0016,0.0043,0,0,B.5
114367,0.0016,0.0041,0,0,B.5
114368,0.0016,0.0076,0,1,B.6
114369,0.0016,0.0072,0,1,B.6
114370,0.0016,0.0049,0,0,B.5
114371,0.0016,0.0073,0,1,B.6
114372,0.0016,0.0082,0,1,B.6
114374,0.0016,0.0083,0,1,B.6
114375,0.0016,0.0045,0,0,B.5
114376,0.0016,0.0042,0,0,B.5
114377,0.0016,0.0079,0,1,B.6
114378,0.0016,0.0082,0,1,B.6
114379,0.0016,0.0078,0,1,B.6
114380,0.0016,0.0048,0,0,B.5
114381,0.0016,0.0048,0,0,B.5
114382,0.0016,0.0085,0,1,B.6
114383,0.0016,0.0083,0,1,B.6
114384,0.0016,0.0082,0,1,B.6
114385,0.0016,0.0042,0,0,B.5
114386,0.0016,0.0051,0,0,B.5
114387,0.0016,0.0076,0,1,B.6
114388,0.0016,0.008,0,1,B.6
114389,0.0016,0.0082,0,1,B.6
114390,0.0016,0.0036,0,0,B.5
114391,0.0016,0.0043,0,0,B.5
114393,0.0016,0.005,0,0,B.5
114407,0.0016,0.0072,1,0,B.1
114408,0.0016,0.0091,1,0,B.1
114409,0.0016,0.0097,1,1,B.2
114410,0.0016,0.0099,1,1,B.2
114411,0.0016,0.0086,1,0,B.1
114412,0.0016,0.0087,1,0,B.1
114413,0.0016,0.0092,1,0,B.1
114414,0.0016,0.0096,1,1,B.2
114415,0.0016,0.0092,1,0,B.1
114416,0.0016,0.0094,1,0,B.1
114417,0.0016,0.0091,1,0,B.1
114418,0.0016,0.0097,1,0,B.1
114419,0.0016,0.0095,1,0,B.1
114420,0.0016,0.0099,1,0,B.1
114421,0.0016,0.0099,1,1,B.2
114422,0.0016,0.0097,1,0,B.1
114423,0.0016,0.0099,1,1,B.2
114424,0.0016,0.009,1,0,B.1
114425,0.0016,0.009,1,0,B.1
114428,0.0016,0.009,1,0,B.1
114429,0.0016,0.0093,1,0,B.1
114430,0.0016,0.0099,1,1,B.2
114431,0.0016,0.0098,1,0,B.1
114432,0.0016,0.0093,1,0,B.1
114433,0.0016,0.0093,1,0,B.1
114434,0.0016,0.0092,1,0,B.1
114435,0.0016,0.0093,1,0,B.1
114436,0.0016,0.0096,1,0,B.1
114437,0.0016,0.0099,1,1,B.2
114438,0.0016,0.0095,1,0,B.1
114439,0.0016,0.0094,1,0,B.1
114440,0.0016,0.0099,1,1,B.2
114441,0.0016,0.0093,1,0,B.1
114442,0.0016,0.0099,1,1,B.2
114443,0.0016,0.0093,1,0,B.1
114444,0.0016,0.0098,1,0,B.1
114445,0.0016,0.0095,1,0,B.1
114446,0.0016,0.0099,1,1,B.2
114447,0.0016,0.0099,1,1,B.2
114448,0.0016,0.0093,1,0,B.1
114449,0.0016,0.0099,1,1,B.2
114450,0.0016,0.0094,1,0,B.1
114451,0.0016,0.009,1,0,B.1
114452,0.0016,0.0099,1,1,B.2
114453,0.0016,0.0094,1,0,B.1
114454,0.0016,0.0091,1,0,B.1
114455,0.0016,0.0094,1,0,B.1
114456,0.0016,0.0094,1,0,B.1
114457,0.0016,0.0097,1,0,B.1
114458,0.0016,0.0096,1,0,B.1
114459,0.0016,0.0099,1,1,B.2
114460,0.0016,0.0095,1,0,B.1
114461,0.0016,0.0095,1,0,B.1
114462,0.0016,0.0097,1,0,B.1
114463,0.0016,0.0099,1,1,B.2
114464,0.0016,0.0095,1,0,B.1
114465,0.0016,0.0099,1,1,B.2
114466,0.0016,0.0099,1,1,B.2
114467,0.0016,0.0097,1,0,B.1
114468,0.0016,0.0092,1,0,B.1
114469,0.0016,0.0098,1,1,B.2
114470,0.0016,0.0099,1,1,B.2
114471,0.0016,0.0099,1,1,B.2
114472,0.0016,0.0091,1,0,B.1
114473,0.0016,0.0077,1,0,B.1
114474,0.0016,0.0058,0,0,B.5
114475,0.0016,0.0079,0,1,B.6
114476,0.0016,0.005,0,0,B.5
114478,0.0016,0.0087,0,1,B.6
114479,0.0016,0.009,0,1,B.6
114481,0.0016,0.0048,0,0,B.5
114482,0.0016,0.0049,0,0,B.5
114483,0.0016,0.0037,0,0,B.5
114484,0.0016,0.0057,0,0,B.5
114485,0.0016,0.0088,0,1,B.6
114487,0.0016,0.0039,0,0,B.5
114488,0.0016,0.005,0,0,B.5
114489,0.0016,0.0048,0,2,B.7
114490,0.0016,0.0046,0,2,B.7
114491,0.0016,0.0045,0,2,B.7
114492,0.0016,0.0046,0,2,B.7
114493,0.0016,0.0089,1,2,B.3
114494,0.0016,0.0094,1,2,B.3
114495,0.0016,0.0099,1,3,B.4
114496,0.0016,0.0088,1,2,B.3
